b1 	c1 	20190526 	20190528 	8 	2000 	0 	0 	complete 
b2 	c2 	20190603 	20190607 	8 	2000 	0 	0 	complete 
b3 	c1 	20190730 	20190804 	8 	2000 	0 	0 	complete 
b4 	c3 	20190817 	20190819 	48 	9600 	8640 	0 	complete 
b5 	c3 	20190828 	20190830 	16 	3200 	1440 	0 	complete 
b6 	c4 	20190818 	20190820 	48 	9600 	8640 	18240 	complete 
b7 	c3 	20190818 	20190819 	10 	1200 	900 	0 	pending 
b8 	c5 	20190719 	20190720 	8 	800 	0 	0 	complete 
b9 	c5 	20190824 	20190826 	16 	3200 	1920 	1280 	cancelled 
b10 	c5 	20190823 	20190824 	11 	1200 	1155 	588 	cancelled 
b11 	c5 	20190819 	20190820 	8 	800 	0 	0 	cancelled 
b12 	c4 	20190818 	20190820 	20 	4000 	1500 	0 	pending 
b13 	c5 	20190822 	20190823 	8 	800 	760 	390 	cancelled 
