t1 	20220708 	B 	- 	0 	NULL 
t2 	20220708 	B 	- 	0 	NULL 
t3 	20220708 	B 	- 	0 	NULL 
t4 	20220708 	B 	- 	0 	NULL 
t5 	20220708 	B 	- 	0 	NULL 
t6 	20220708 	B 	- 	0 	NULL 
t7 	20220708 	B 	- 	0 	NULL 
t8 	20220708 	B 	- 	0 	NULL 
t9 	20220708 	B 	- 	0 	NULL 
t10 	20220708 	B 	- 	0 	NULL 
t11 	20220708 	B 	- 	0 	NULL 
t12 	20220708 	B 	- 	0 	NULL 
t13 	20220708 	B 	- 	0 	NULL 
t14 	20220708 	B 	- 	0 	NULL 
t15 	20220708 	B 	- 	0 	NULL 
t16 	20220708 	B 	- 	0 	NULL 
t1 	20220708 	L 	- 	0 	NULL 
t2 	20220708 	L 	- 	0 	NULL 
t3 	20220708 	L 	- 	0 	NULL 
t4 	20220708 	L 	- 	0 	NULL 
t5 	20220708 	L 	- 	0 	NULL 
t6 	20220708 	L 	- 	0 	NULL 
t7 	20220708 	L 	- 	0 	NULL 
t8 	20220708 	L 	- 	0 	NULL 
t9 	20220708 	L 	- 	0 	NULL 
t10 	20220708 	L 	- 	0 	NULL 
t11 	20220708 	L 	- 	0 	NULL 
t12 	20220708 	L 	- 	0 	NULL 
t13 	20220708 	L 	- 	0 	NULL 
t14 	20220708 	L 	- 	0 	NULL 
t15 	20220708 	L 	- 	0 	NULL 
t16 	20220708 	L 	- 	0 	NULL 
t1 	20220708 	D 	- 	0 	NULL 
t2 	20220708 	D 	- 	0 	NULL 
t3 	20220708 	D 	- 	0 	NULL 
t4 	20220708 	D 	- 	0 	NULL 
t5 	20220708 	D 	- 	0 	NULL 
t6 	20220708 	D 	- 	0 	NULL 
t7 	20220708 	D 	- 	0 	NULL 
t8 	20220708 	D 	- 	0 	NULL 
t9 	20220708 	D 	- 	0 	NULL 
t10 	20220708 	D 	- 	0 	NULL 
t11 	20220708 	D 	- 	0 	NULL 
t12 	20220708 	D 	- 	0 	NULL 
t13 	20220708 	D 	- 	0 	NULL 
t14 	20220708 	D 	- 	0 	NULL 
t15 	20220708 	D 	- 	0 	NULL 
t16 	20220708 	D 	- 	0 	NULL 
t1 	20220709 	B 	- 	0 	NULL 
t2 	20220709 	B 	- 	0 	NULL 
t3 	20220709 	B 	- 	0 	NULL 
t4 	20220709 	B 	- 	0 	NULL 
t5 	20220709 	B 	- 	0 	NULL 
t6 	20220709 	B 	- 	0 	NULL 
t7 	20220709 	B 	- 	0 	NULL 
t8 	20220709 	B 	- 	0 	NULL 
t9 	20220709 	B 	- 	0 	NULL 
t10 	20220709 	B 	- 	0 	NULL 
t11 	20220709 	B 	- 	0 	NULL 
t12 	20220709 	B 	- 	0 	NULL 
t13 	20220709 	B 	- 	0 	NULL 
t14 	20220709 	B 	- 	0 	NULL 
t15 	20220709 	B 	- 	0 	NULL 
t16 	20220709 	B 	- 	0 	NULL 
t1 	20220709 	L 	- 	0 	NULL 
t2 	20220709 	L 	- 	0 	NULL 
t3 	20220709 	L 	- 	0 	NULL 
t4 	20220709 	L 	- 	0 	NULL 
t5 	20220709 	L 	- 	0 	NULL 
t6 	20220709 	L 	- 	0 	NULL 
t7 	20220709 	L 	- 	0 	NULL 
t8 	20220709 	L 	- 	0 	NULL 
t9 	20220709 	L 	- 	0 	NULL 
t10 	20220709 	L 	- 	0 	NULL 
t11 	20220709 	L 	- 	0 	NULL 
t12 	20220709 	L 	- 	0 	NULL 
t13 	20220709 	L 	- 	0 	NULL 
t14 	20220709 	L 	- 	0 	NULL 
t15 	20220709 	L 	- 	0 	NULL 
t16 	20220709 	L 	- 	0 	NULL 
t1 	20220709 	D 	- 	0 	NULL 
t2 	20220709 	D 	- 	0 	NULL 
t3 	20220709 	D 	- 	0 	NULL 
t4 	20220709 	D 	- 	0 	NULL 
t5 	20220709 	D 	- 	0 	NULL 
t6 	20220709 	D 	- 	0 	NULL 
t7 	20220709 	D 	- 	0 	NULL 
t8 	20220709 	D 	- 	0 	NULL 
t9 	20220709 	D 	- 	0 	NULL 
t10 	20220709 	D 	- 	0 	NULL 
t11 	20220709 	D 	- 	0 	NULL 
t12 	20220709 	D 	- 	0 	NULL 
t13 	20220709 	D 	- 	0 	NULL 
t14 	20220709 	D 	- 	0 	NULL 
t15 	20220709 	D 	- 	0 	NULL 
t16 	20220709 	D 	- 	0 	NULL 
t1 	20220710 	B 	- 	0 	NULL 
t2 	20220710 	B 	- 	0 	NULL 
t3 	20220710 	B 	- 	0 	NULL 
t4 	20220710 	B 	- 	0 	NULL 
t5 	20220710 	B 	- 	0 	NULL 
t6 	20220710 	B 	- 	0 	NULL 
t7 	20220710 	B 	- 	0 	NULL 
t8 	20220710 	B 	- 	0 	NULL 
t9 	20220710 	B 	- 	0 	NULL 
t10 	20220710 	B 	- 	0 	NULL 
t11 	20220710 	B 	- 	0 	NULL 
